sport,date,time,competition,home_team,away_team,venue,referee,scraped_date,age_id
Male Football,Friday July 4,20:00,U14 Football D Phase Two Gp.B,St Annes,Cuala,Bohernabreena,Tommie Clinton Croi Ro Naofa,2025-07-04,3327
Male Football,Saturday July 5,11:00,Go Ahead Ireland AFL Div 2,Fingallians,Na Fianna,Lawless Park,David O Connor,2025-07-05,3315
Male Football,Saturday July 5,11:00,Go Ahead Ireland AFL Div 2,Pobal Parnell,Raheny,St Davids,Sean McCarthy,2025-07-05,3315
Male Football,Saturday July 5,12:30,Go Ahead Ireland AFL Div 2,Skerries Harps,St Brigids,Skerries,Kevin Doherty,2025-07-05,3315
Male Football,Saturday July 5,13:00,Go Ahead Ireland AFL Div 3,Cuala,St Margarets,Hyde Park,David Murphy,2025-07-05,3315
Male Football,Saturday July 5,13:30,Go Ahead Ireland AFL Div 3,St Annes,Clann Mhuire,Bohernabreena,Paul Faughnan,2025-07-05,3315
Male Football,Saturday July 5,10:15,Go Ahead Ireland AFL Div 4,St Vincents,O Dwyers,Pairc Na Uinsionn,Paul Harte,2025-07-05,3315
Male Football,Saturday July 5,10:30,Go Ahead Ireland AFL Div 4,St Sylvesters,Castleknock,Somerton Park,Chris Nolan,2025-07-05,3315
Male Football,Saturday July 5,12:30,Go Ahead Ireland AFL Div 5,Round Towers (C),Cuala,Community Centre,N/A,2025-07-05,3315
Male Football,Saturday July 5,10:00,U13 Football League Div.6,Raheny,Naomh Mearnog,St Annes 7,GeorgeWilliams Trinity Gaels,2025-07-05,3326
Male Football,Saturday July 5,11:00,U13 Football League Div.11,Kilmacud Crokes,Whitehall Colmcille,Deerpark,Caomhan Bermingham Naomh Olaf,2025-07-05,3326
Male Football,Saturday July 5,11:30,U13 Football League Div.11,Raheny,O Dwyers,St Annes 7,GeorgeWilliams Trinity Gaels,2025-07-05,3326
Male Football,Sunday July 6,11:00,Minor FL Div 1,Cuala,Lucan Sarsfields,Hyde Park,Adam Kelly,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 2,Ballymun Kickhams,Fingallians,Pairc Ciceam,N/A,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 2,Naomh Barrog,Round Towers (C),Pairc Barrog,Tommy Byrne,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 2,Raheny,Ballinteer St Johns,St Annes Park,Damien Burnett,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 3 North,O Tooles,Fingal Ravens,Blunden Drive,Laurence Kelly,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 3 North,Erins Isle,Thomas Ashe,Finglas,Tony Clarke,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 3 South,Naomh Olaf,St Judes,Pairc Ui Bhriain,TBC,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 3 South,St Patricks (P),Ballyboden St Endas,Glenauline Park,N/A,2025-07-06,3337
Male Football,Sunday July 6,12:00,Minor FL Div 4,Na Fianna,Castleknock,St Mobhi Road,Shay Hurson,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 4,Lucan Sarsfields,Beann Eadair,Arthur Griffith Park,Paul Cullivan,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 4,Clontarf,Trinity Gaels,St Annes Park,Ian Smyth,2025-07-06,3337
Male Football,Sunday July 6,10:15,Minor FL Div 5 North,Na Fianna,O Dwyers,St Mobhi Road,Philip Cullen,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 5 North,Castleknock,St Maurs,Somerton Park,Richard Lancaster,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 5 South,Round Towers (C),Templeogue Synge Street,Community Centre,Edward McAuley,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 5 South,Ballyboden St Endas,Cuala,Ballycullen,N/A,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 5 South,Clanna Gael-Fontenoy,Geraldine P. Moran,Sean Moore Park,Diarmuid  White,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 5 South,St Judes,Ballinteer St Johns,Tymon Park,N/A,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 6 North,Trinity Gaels,Na Fianna,Drumnigh,Marcus Reynolds,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 6 North,Whitehall Colmcille,St Patricks (D),Belcamp Park,N/A,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 6 North,St Sylvesters,St Peters,Broomfield,Conor Flaherty,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 6 North,Thomas Ashe,Naomh Barrog,St Margarets,Ciaran Molloy,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 6 Mid County,St Vincents,Robert Emmets,Pairc Na Uinsionn,TBC,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 6 Mid County,Crumlin,Templeogue Synge Street,Pearse Park,Aaron Murphy,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 6 Mid County,Good Counsel Liffey Gaels,Erin Go Bragh,Liffey Park,Eugene Murphy,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 6 Mid County,Lucan Sarsfields,St Brigids,Arthur Griffith Park,Caoimhín Bermingham,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 6 South,Kilmacud Crokes,Cuala,Pairc de Burca,N/A,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 6 South,Ballyboden St Endas,Thomas Davis,Ballycullen,Declan Enright,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 6 South,Naomh Olaf,St Judes,Pairc Ui Bhriain,Mick Gilvarry,2025-07-06,3337
Male Football,Sunday July 6,11:00,Minor FL Div 6 South,Ranelagh Gaels,Ballinteer St Johns,Bushy Park,TBC,2025-07-06,3337
Male Football,Sunday July 6,10:15,Go Ahead Ireland AFL Div 1,Ballinteer St Johns,Na Fianna,Marley Park,Darren Delaney,2025-07-06,3315
Male Football,Sunday July 6,10:15,Go Ahead Ireland AFL Div 1,St Judes,Cuala,Tymon Park,Andrew Cummins,2025-07-06,3315
Male Football,Sunday July 6,10:15,Go Ahead Ireland AFL Div 1,St Marys S,St Oliver Plunkett ER,Saggart,Dan Stynes,2025-07-06,3315
Male Football,Sunday July 6,10:15,Go Ahead Ireland AFL Div 1,Thomas Davis,Lucan Sarsfields,Kiltipper Road,Gareth Walsh,2025-07-06,3315
Male Football,Sunday July 6,10:15,Go Ahead Ireland AFL Div 2,Scoil Ui Chonaill,Naomh Olaf,Clontarf Road,E Dromgoole English,2025-07-06,3315
Male Football,Sunday July 6,10:15,Go Ahead Ireland AFL Div 2,Naomh Barrog,Round Towers Lusk,Pairc Barrog,Luke Lacey,2025-07-06,3315
Male Football,Sunday July 6,10:15,Go Ahead Ireland AFL Div 2,Whitehall Colmcille,St Vincents,Collins Avenue,Jim Hussey,2025-07-06,3315
Male Football,Sunday July 6,10:15,Go Ahead Ireland AFL Div 3,Round Towers (C),Erins Isle,Monastery Road,Keith Tighe,2025-07-06,3315
Male Football,Sunday July 6,10:15,Go Ahead Ireland AFL Div 3,Clontarf,Thomas Davis,St Annes Park,Colm McCarthy,2025-07-06,3315
Male Football,Sunday July 6,10:15,Go Ahead Ireland AFL Div 3,Clanna Gael-Fontenoy,St Finians (S),Sean Moore Park,Colin Doyle,2025-07-06,3315
Male Football,Sunday July 6,10:15,Go Ahead Ireland AFL Div 3,Ballymun Kickhams,Ballyboden St Endas,Pairc Ciceam,N/A,2025-07-06,3315
Male Football,Sunday July 6,10:15,Go Ahead Ireland AFL Div 4,Geraldine P. Moran,Fingal Ravens,Ballyogan,Robbie Glennon,2025-07-06,3315
Male Football,Sunday July 6,10:15,Go Ahead Ireland AFL Div 4,Lucan Sarsfields,St Judes,12th Lock,Martin Meehan,2025-07-06,3315
Male Football,Sunday July 6,10:15,Go Ahead Ireland AFL Div 4,Man O War,Garristown,Man O War,Robert Quinn,2025-07-06,3315
Male Football,Sunday July 6,10:15,Go Ahead Ireland AFL Div 4,O Tooles,Ballinteer St Johns,Blunden Drive,Darren Lennon,2025-07-06,3315
Male Football,Sunday July 6,10:15,Go Ahead Ireland AFL Div 4,St Peregrines,St Finians (N),Blakestown,Fergus McGreevy,2025-07-06,3315
Male Football,Sunday July 6,10:15,Go Ahead Ireland AFL Div 4,Good Counsel / Liffey Gaels,Kilmacud Crokes,Galtymore Road,Craig McKeown,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 5,St Marks,Fingallians,McGee Park,Alan Linnane,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 5,Templeogue Synge Street,St Patricks (D),Dolphin Park,Tony Lambe,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 5,St Oliver Plunkett ER,Craobh Chiarain,Martin Savage Park,N/A,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 5,St Vincents,Whitehall Colmcille,Pairc Na Uinsionn,Dermot Deasy,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 5,St Brendans,Thomas Davis,Grangegorman,Simon Redmond,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 5,Skerries Harps,Ballyboden St Endas,Skerries,John O Brien,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 5,Crumlin,Naomh Olaf,Pearse Park,Brian O Brien,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 6,Ballyfermot Gaels,Castleknock,The Gaels,Declan Enright,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 6,Kilmacud Crokes,St Margarets,Pairc de Burca,Tom  Eakins,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 6,Ranelagh Gaels,Civil Service Football,Bushy Park,Senan Finucane,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 6,Round Towers Lusk,Raheny,Thomas Ashe Park,Niall Murray,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 6,St Brigids,St Maurs,Russell Park,Padraig Furlong,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 6,St James Gaels An Caislean,St Judes,Iveagh Grounds,Hugh  Murphy,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 6,St Monicas,Beann Eadair,Edenmore,Des Molloy,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 6,Wanderers,Na Fianna,Frank Kelly Park,Joe Aherne,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 7,Stars of Erin,Na Gaeil Oga,Glencullen,Tom Clinton,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 7,St Sylvesters,Clanna Gael-Fontenoy,Broomfield,Kevin O Donnell,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 7,St Marys S,Templeogue Synge Street,Saggart,Marc MacLiam,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 7,St Kevin-Killians,Na Fianna,Kingswood,Brendan Gahan,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 7,Clontarf,Scoil Ui Chonaill,St Annes Park,N/A,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 7,St Annes,Erins Isle,Bohernabreena,Tom Curran,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 7,Erin Go Bragh,Lucan Sarsfields,Hazelbury Park,N/A,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 7,St Patricks (D),Pobal Parnell,Donabate,Derek Andrews,2025-07-06,3315
Male Football,Sunday July 6,11:00,Go Ahead Ireland AFL Div 8,Bank of Ireland,Skerries Harps,Ringsend Park,TBC,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 8,Ballinteer St Johns,Naomh Barrog,Marley Park,Noel Thompson,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 8,Clann Mhuire,Kilmacud Crokes,Naul,Tommy Flood,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 8,Naomh Fionnbarra,St Brigids,Pope John Paul ll Park,Anthony Brennan,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 8,Naomh Mearnog,St Vincents,Portmarnock,Stephen Shields,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 8,Raheny,Whitehall Colmcille,St Annes Park,Brian Moore,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 8,Shankill Gaa,Ballymun Kickhams,Stonebridge Road,Kieron Young,2025-07-06,3315
Male Football,Sunday July 6,12:00,Go Ahead Ireland AFL Div 8,St Peregrines,Ballyboden St Endas,Blakestown,John Frier,2025-07-06,3315
Male Football,Monday July 7,19:30,Minor FL Div 3 North,St Sylvesters,Skerries Harps,Broomfield,Gavin Donegan,2025-07-07,3337
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 9,Good Counsel Liffey Gaels,Ballyboughal,Galtymore Road,Simon Murphy,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 9,Garda Westmanstown Gaels,Cuala,Westmanstown,Alan Linnane,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 9,Trinity Gaels,Na Fianna,Drumnigh,Ernie Brenner,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 9,Robert Emmets,St Finians (N),Green Trees Park,N/A,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 9,Raheny,Portobello,St Annes Park,Simon Redmond,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 9,St Brigids,Naomh Olaf,Russell Park,Padraig Furlong,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 9,Fingallians,St Patricks (P),Lawless Park,Stephen Shields,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 9,Erins Isle,Lucan Sarsfields,Finglas,Liam O Connell,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 10B,Stars of Erin,St Patricks (D),Glencullen,TBC,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 10B,Geraldine P. Moran,Kilmacud Crokes,Ballyogan,Tom  Eakins,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 10B,Whitehall Colmcille,Na Fianna,Belcamp Park,Conor Flaherty,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 10B,Thomas Davis,Templeogue Synge Street,Kiltipper Road,Brian Collins,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 10B,St Marks,Man O War,McGee Park,Robert Doyle,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 10B,St Colmcilles,Round Towers (C),Balheary,Timmy Doyle,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 10B,Ballinteer St Johns,Ballymun Kickhams,Loreto Park,Kieron Young,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 10B,Craobh Chiarain,Crumlin,Clonshaugh,John Frier,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 11B,Pobal Parnell,O Dwyers,Belcamp Park,N/A,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 11B,St Sylvesters,St Josephs OCB,Broomfield,Marcus Reynolds,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 11B,Croi Ro Naofa,Fingallians,Sancta Maria,Adam  Doyle,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 11B,Ballyboden St Endas,Clontarf,Ballycullen,Nicholas  Gogarty,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 11B,Wanderers,Na Gaeil Oga,Frank Kelly Park,David  Garland,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 11B,Na Dubh Ghall,Erin Go Bragh,Hazelbury Park,TBC,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 10A,St Margarets,St Judes,St Margarets,Aaron  Douglas,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 10A,St Finians (S),Castleknock,River Valley,Nicky Whelan,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 10A,Rosmini Gaels,Fingal Ravens,Plunketts VEC,TBC,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 10A,O Tooles,St Annes,Blunden Drive,Conor Kavanagh,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 10A,Lucan Sarsfields,Garristown,Arthur Griffith Park,Anthony Brennan,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 10A,Ballyboden St Endas,Naomh Barrog,Ballycullen,Tom Clinton,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 10A,St Brigids,Naomh Mearnog,Russell Park,TBC,2025-07-07,3315
Male Football,Monday July 7,19:30,Go Ahead Ireland AFL Div 10A,O Dwyers,St Brendans,Balbriggan,Robert Quinn,2025-07-07,3315
Male Football,Wednesday July 9,19:30,Go Ahead Ireland AFL Div 5,Whitehall Colmcille,St Marks,Cloghran,Tommy Byrne,2025-07-09,3315
Male Football,Wednesday July 9,19:30,Go Ahead Ireland AFL Div 6,Raheny,St Monicas,St Annes Park,Colin Doyle,2025-07-09,3315
Male Football,Wednesday July 9,19:30,U14 Football H Phase Two Gp.A,Ballyboden St Endas,Garda Westmanstown Gaels,Cherryfield,N/A,2025-07-09,3327
Male Football,Thursday July 10,19:00,U13 Football League Div.1,Cuala,Ballyboden St Endas,Thomastown,Alan Linnane St Marys,2025-07-10,3326
Male Football,Friday July 11,19:30,Minor FL Div 1,Kilmacud Crokes,St Patricks (D),Silver Park,Andrew Cummins,2025-07-11,3337
Male Football,Saturday July 12,14:00,U13 Football League Div.2,Naomh Olaf,Thomas Ashe,Pc Ui Bhriain,Seamus Farrelly Ballinteer St. John,2025-07-12,3326
Male Football,Saturday July 12,14:00,U13 Football League Div.3,Beann Eadair,Round Towers (C),Pairc O Ruairc-Balkill Road,Adrian Kavanagh Naomh Mearnog,2025-07-12,3326
Male Football,Saturday July 12,14:00,U13 Football League Div.4,Naomh Fionnbarra,Bye,John Paul Park,N/A,2025-07-12,3326
Male Football,Saturday July 12,14:00,U13 Football League Div.4,St Annes,Shankill,Bohernabreena,Tommie Clinton Croi Ro Naofa,2025-07-12,3326
Male Football,Saturday July 12,14:00,U13 Football League Div.6,St Brigids,St Kevin-Killians,Russell Park,Eilis Ni Chearnaigh Setanta,2025-07-12,3326
Male Football,Saturday July 12,14:00,U13 Football League Div.7,St Finians (N),Bray Emmets,Newcastle,Shay Hurson Lucan Sarsfields,2025-07-12,3326
Male Football,Saturday July 12,14:00,U13 Football League Div.7,Trinity Gaels,Bye,Donaghmede Park,N/A,2025-07-12,3326
Male Football,Saturday July 12,14:00,U13 Football League Div.8,Clontarf,Bye,St Annes 21,N/A,2025-07-12,3326
Male Football,Saturday July 12,14:00,U13 Football League Div.10,St Brigids,Ballyboden St Endas,Russell Park,Luke Lacey Na Fianna,2025-07-12,3326
Male Football,Saturday July 12,14:00,U13 Football League Div.10,Naomh Mearnog,Bye,Pairc Mearnog,N/A,2025-07-12,3326
Male Football,Saturday July 12,14:00,U13 Football League Div.11,Fingallians,Bye,Kettles Lane,N/A,2025-07-12,3326
Male Football,Saturday July 12,15:30,U14 Football B Phase Two Gp.B,St Vincents,St Finians (N),PNU,Danny Harrington Naomh Mearnog,2025-07-12,3327
Male Football,Saturday July 12,15:30,U14 Football C Phase Two Gp.B,St Maurs,Erin Go Bragh,Rush,Daniel Burke St Patricks D,2025-07-12,3327
Male Football,Saturday July 12,15:30,U14 Football E Phase Two Gp.A,Beann Eadair,Lucan Sarsfields,Pairc O Ruairc-Balkill Road,Adrian Kavanagh Naomh Mearnog,2025-07-12,3327
Male Football,Saturday July 12,15:30,U14 Football E Phase Two Gp.B,Crumlin,St Judes,Pearse Park,Maoliosa McHugh St Brendans,2025-07-12,3327
Male Football,Saturday July 12,15:30,U14 Football E Phase Two Gp.B,St Peregrines,Na Gaeil Oga,Blakestown Rd,Tom Tansey St Brendans,2025-07-12,3327
Male Football,Saturday July 12,15:30,U14 Football F Phase Two Gp.A,St Sylvesters,Good Counsel Liffey Gaels,Bridgefield,Sean Walsh Naomh Barrog,2025-07-12,3327
Male Football,Saturday July 12,15:30,U14 Football G Phase Two Gp.B,Cuala,St Sylvesters,Shanganagh Park,Alan Linnane St Marys,2025-07-12,3327
Male Football,Saturday July 12,15:30,U14 Football H Phase Two Gp.A,Clontarf,Bye,St Annes 23,N/A,2025-07-12,3327
Male Football,Saturday July 12,15:30,U14 Football H Phase Two Gp.B,St Judes,St Marys S,Tymon Park,Tom Curran Faughs,2025-07-12,3327
Male Football,Saturday July 12,15:30,U14 Football H Phase Two Gp.C,Cabinteely,Kilmacud Crokes,Kilbogget Park,N/A,2025-07-12,3327
Male Football,Saturday July 12,15:30,U14 Football H Phase Two Gp.C,Templeogue Synge Street,Bye,Dolphin Park,N/A,2025-07-12,3327
Male Football,Sunday July 13,11:00,Minor FL Div 1,Lucan Sarsfields,St Vincents,Arthur Griffith Park,Gareth Walsh,2025-07-13,3337
Male Football,Sunday July 13,11:00,Minor FL Div 3 South,St Peregrines Garda Westmanstown Gaels,St Marys S,Blakestown,N/A,2025-07-13,3337
Male Football,Sunday July 13,11:00,Minor FL Div 4,Man O War,Kilmacud Crokes,Man O War,Nicky Whelan,2025-07-13,3337
Male Football,Sunday July 13,11:00,Minor FL Div 4,St Vincents,St Peters,Pairc Na Uinsionn,Liam O Connell,2025-07-13,3337
Male Football,Tuesday July 15,19:30,Minor FL Div 3 South,St Patricks (P),St Finians (N),Kingswood,TBC,2025-07-15,3337
Hurling,Monday July 7,00:00,Go Ahead Ireland AHL Div 9,St James Gaels An Caislean,Fingallians,Drimnagh Castle,TBC,2025-07-07,3330
Hurling,Wednesday July 9,19:30,Minor HL Div 1,Ballinteer St Johns,St Sylvesters,Marley Park,Fergal McDonagh,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 1,Ballyboden St Endas,Na Fianna,Pairc Ui Murchu,Mark Ryan,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 1,Clontarf,St Vincents,St Annes Park,Thomas Gleeson,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 1,Lucan Sarsfields,Kilmacud Crokes,12th Lock,Rory Hanley,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 1,Raheny,St Judes,St Annes Park,N/A,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 2,Castleknock,Fingallians,Somerton Park,Colm McHale,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 2,Naomh Barrog,St Peregrines Garda Westmanstown Gaels,Pairc Barrog,Danny Harrington,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 2,Thomas Davis,St Oliver Plunkett ER,Kiltipper Road,Tom Tansey,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 2,Round Towers Lusk,Cuala,Thomas Ashe Park,Jason Buckley,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 2,Erins Isle,O Tooles,Finglas,Liam O Briain,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 3,St Maurs,Naomh Mearnog,Rush,P J Murray,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 3,St Finians (S),Commercials,Ridgewood Park Swords,Sean Dunican,2025-07-09,3320
